time,mag_x,mag_y,mag_z
-1.407206,-7.15630579,17.9290714,-30.1073093
-1.397006,-6.8960762,18.2673569,-30.7838783
-1.387006,-7.15504265,18.6054897,-29.7687836
-1.376807,-7.28642035,18.6056404,-29.0924568
-1.366807,-6.89729404,19.2823677,-29.769268
-1.35661,-7.15883303,19.9591007,-30.1077976
-1.34661,-7.02619123,18.943924,-30.7838783
-1.336416,-7.02991343,19.2826805,-29.4314594
-1.326416,-6.63467598,18.6054897,-30.1070652
-1.316217,-7.28513432,18.2672081,-29.4305019
-1.306217,-7.29028034,18.6060944,-29.4314594
-1.29602,-7.28642035,17.9290714,-29.7690239
-1.28602,-6.76476765,18.9437714,-30.1070652
-1.275826,-7.28642035,19.2822094,-29.7690239
-1.265826,-7.02495098,18.9437714,-30.1070652
-1.25563,-7.15630579,19.2822094,-30.1073093
-1.24563,-6.89485931,18.2672081,-29.4305019
-1.23543,-7.02743149,18.9440804,-30.1075554
-1.225236,-7.15630579,18.6056404,-29.4307404
-1.215236,-6.63467598,18.9437714,-30.1070652
-1.205037,-6.76596165,18.6056404,-30.1073093
-1.195037,-7.28642035,18.943924,-29.7690239
-1.184837,-7.28513432,19.6203346,-30.4453468
-1.174837,-6.89485931,18.2672081,-29.4305019
-1.164641,-6.8960762,18.6056404,-29.7690239
-1.154641,-7.02619123,18.6056404,-29.4307404
-1.144447,-7.15504265,18.2672081,-30.4453468
-1.134447,-6.76476765,18.9437714,-29.7687836
-1.12425,-7.28642035,17.9290714,-30.7838783
-1.11425,-7.02495098,18.6054897,-29.7687836
-1.104056,-7.15377998,18.6053371,-30.1068192
-1.094056,-7.15377998,17.9287796,-29.4302616
-1.083857,-7.15630579,18.943924,-30.1073093
-1.073857,-7.02743149,19.2823677,-29.769268
-1.06366,-7.02495098,18.2672081,-30.4453468
-1.05366,-6.76476765,18.6054897,-30.1070652
-1.043461,-6.8960762,19.2822094,-29.4307404
-1.033461,-7.02619123,18.943924,-29.7690239
-1.02327,-7.28642035,18.943924,-30.1073093
-1.01327,-6.63467598,18.9437714,-29.0922203
-1.00307,-7.28642035,18.6056404,-29.7690239
-0.99307,-7.15504265,18.6054897,-29.4305019
-0.982871,-7.28513432,19.282053,-30.4453468
-0.972871,-7.28384876,18.9436169,-30.1068192
-0.96268,-7.02371168,18.9436169,-29.0919819
-0.95268,-6.76476765,18.9437714,-30.4453468
-0.94248,-7.15630579,18.943924,-30.1073093
-0.93248,-7.28513432,18.9437714,-30.4453468
-0.922281,-7.15630579,18.943924,-30.1073093
-0.912281,-7.28642035,18.2673569,-30.7838783
-0.90209,-7.15630579,18.2673569,-30.1073093
-0.89209,-7.15630579,18.943924,-30.1073093
-0.88189,-7.02619123,18.6056404,-30.1073093
-0.87189,-6.89485931,18.9437714,-30.4453468
-0.861691,-6.8936429,18.6053371,-29.4302616
-0.851691,-7.02495098,18.9437714,-30.1070652
-0.8415,-6.50573254,19.2822094,-30.1073093
-0.8315,-7.02619123,18.943924,-29.4307404
-0.8213,-7.02495098,18.6054897,-30.4453468
-0.8113,-7.4165349,19.2822094,-30.1073093
-0.801101,-7.15630579,18.6056404,-29.4307404
-0.791101,-6.8960762,18.2673569,-30.7838783
-0.780907,-6.89729404,19.2823677,-30.1075554
-0.770907,-6.89485931,18.9437714,-29.7687836
-0.760707,-7.02495098,19.282053,-30.4453468
-0.750707,-6.76476765,18.2672081,-31.1219101
-0.740508,-7.4165349,18.6056404,-29.0924568
-0.730508,-7.41391754,18.6053371,-30.1068192
-0.72032,-7.15504265,18.6054897,-30.7836285
-0.71032,-7.15630579,18.2673569,-29.0924568
