time,dynamic_pressure,airspeed,airspeed_calibrated
2.02049,-32633.4883,237.186035,227.100746637414+0i
2.044663,-33436.082,239.431458,229.668820540701+0i
2.068493,-34287.043,242.434692,232.349344088585+0i
2.092493,-35137.9883,245.55751,234.992685368012+0i
2.116855,-36037.2852,248.612076,237.734215647385+0i
2.140493,-36762.5352,251.835281,239.930389128958+0i
2.164663,-37787.543,254.383636,242.96903169841+0i
2.188493,-38541.7969,257.957764,245.161647185036+0i
2.212493,-39402.4141,260.545135,247.632616969661+0i
2.236947,-40350.0664,263.496216,250.341593988631+0i
2.260493,-41007.6172,266.703217,252.222671578304+0i
2.28473,-41800.5508,268.891815,254.443943542448+0i
2.308493,-42670.8398,271.512939,256.821765061351+0i
2.332496,-43328.3945,274.420074,258.62925406633+0i
2.356806,-44150.3359,276.550995,260.858836673277+0i
2.380493,-45223.6914,279.228973,263.692340430881+0i
2.404666,-46181.0117,282.602814,266.159893538934+0i
2.428496,-47080.3164,285.716888,268.481646943087+0i
2.452496,-48134.3281,288.551971,271.225330083051+0i
2.476861,-48598.4883,291.814941,272.484425211823+0i
2.500496,-49729.8633,293.282379,275.30090979847+0i
2.524666,-50503.457,296.72464,277.210185633355+0i
2.548496,-51025.6328,299.111053,278.527624060552+0i
2.572496,-51934.6016,300.691223,280.709868211726+0i
2.596858,-52737.207,303.434906,282.669521586092+0i
2.620496,-53414.0938,305.856079,284.277564844958+0i
2.644657,-54284.3828,307.843323,286.364033536636+0i
2.668496,-55251.3789,310.399567,288.614866358974+0i
2.692496,-56053.9766,313.26709,290.500849163043+0i
2.716508,-56904.9297,315.583557,292.495054615108+0i
2.740496,-57920.2656,318.058502,294.748111346949+0i
2.764672,-58626.168,320.883453,296.439163128192+0i
2.788502,-59718.8633,322.959991,298.860229490453+0i
2.812499,-60386.0898,326.054382,300.362697834784+0i
2.83695,-60753.543,327.923676,301.227062271934+0i
2.860499,-61672.1875,329.009552,303.216061461639+0i
2.884688,-62320.0703,331.544434,304.702218838919+0i
2.908496,-62842.2422,333.395355,305.822953069457+0i
2.932496,-63934.9453,334.845795,308.18089616241+0i
2.956505,-64399.0977,337.837158,309.144129086673+0i
2.980496,-64979.2891,339.162506,310.443212018926+0i
3.004657,-66004.3047,340.736267,312.542058755907+0i
3.028499,-67483.7969,343.469147,315.50203566687+0i
3.052499,-68634.5156,347.436981,317.864611177286+0i
3.076864,-70114.0156,350.43222,320.884589143975+0i
3.100499,-71516.1484,354.269775,323.609970097386+0i
3.124672,-72173.7031,357.794556,324.961493324835+0i
3.148502,-72744.2266,359.588806,326.022601767674+0i
3.172499,-73421.1094,361.061096,327.399890856821+0i
3.196861,-73643.5234,362.818878,327.873749537376+0i
3.220499,-73653.1953,363.469788,327.954211192088+0i
3.244669,-73827.25,363.54364,328.36887302858+0i
3.268499,-73508.1484,364.060913,327.907946879849+0i
3.292502,-73111.6875,363.318054,327.277040208446+0i
3.316864,-72666.8672,362.436859,326.530284294351+0i
3.340499,-72154.3594,361.461731,325.626453798509+0i
3.36466,-71680.5391,360.249634,324.839307468178+0i
3.388499,-71293.7422,359.134857,324.221493103365+0i
3.412502,-71090.6719,358.443268,324.025782914385+0i
3.436995,-70481.4688,358.042755,322.978471546474+0i
3.460499,-70181.7031,356.75946,322.53791171653+0i
3.484691,-69398.4375,355.999969,321.055540594493+0i
3.508508,-69282.4062,354.329315,320.955267314299+0i
