time,pressure
17.18258,70158.0469
17.20658,70143.9297
17.23058,70138.6719
17.256476,70115.7266
17.278583,70105.4922
17.302583,70100.4375
17.326583,70091.1094
17.350583,70081.5469
17.377079,70053.8438
17.398586,70047.9141
17.422583,70038.5312
17.446592,70033.5312
17.470592,70015.125
17.495242,69996.0469
17.518583,69990.5469
17.542583,69976.6484
17.566583,69971.4141
17.590583,69966.6094
17.615251,69948.2109
17.638583,69938.2188
17.662586,69919.5547
17.686583,69914.0781
17.710583,69895.6484
17.735562,69881.1094
17.758586,69875.8359
17.782586,69861.9453
17.806589,69856.7266
17.830589,69847.3828
17.856616,69824.2109
17.878586,69818.5156
17.902586,69813.6875
17.926586,69795.2812
17.950586,69785.2891
17.976726,69771.1719
17.998586,69761.3828
18.022586,69751.8125
18.046586,69742.2656
18.070586,69732.7031
18.09697,69714.0547
18.118589,69708.5859
18.142586,69703.7734
18.166595,69689.9062
18.190586,69684.6797
18.216579,69666.2656
18.238589,69656.2578
18.262589,69655.7578
18.286589,69642.1172
18.310589,69627.8125
18.336589,69618.0078
18.358589,69617.5156
18.382589,69599.3359
18.406586,69593.8984
18.430589,69575.4531
18.456482,69565.4453
18.478589,69555.875
18.502592,69550.8672
18.526592,69536.9922
18.550589,69527.2109
18.577076,69522.1875
18.598592,69508.3047
18.622589,69512.1562
18.646589,69498.7266
18.670589,69484.4375
18.69526,69479.1953
18.718592,69460.7656
18.742592,69464.375
18.766589,69455.4922
18.790592,69441.4219
18.816595,69431.6406
18.838598,69426.6094
18.862592,69421.8125
18.886592,69403.4141
18.910589,69397.9531
18.935324,69388.5938
18.958592,69383.5938
18.982592,69374.2656
19.006592,69369.2578
19.030592,69359.9219
19.054906,69345.8438
19.078592,69331.5156
19.102592,69330.7969
19.126592,69321.6875
19.150592,69312.1484
19.176957,69298.0547
19.198595,69301.8906
19.222595,69293
19.246592,69274.3828
19.270595,69278
19.29703,69260.0234
19.318595,69259.125
19.342595,69254.5469
19.366592,69240.6875
19.390595,69235.4688
19.416735,69221.5703
19.438595,69220.875
19.462595,69216.3125
19.486595,69207
19.510595,69197.4531
19.53615,69196.9766
19.558595,69183.3281
19.582595,69173.5625
19.606595,69168.5391
19.630595,69163.75
19.656982,69154.4297
19.678595,69149.4141
19.702598,69140.0859
19.726598,69135.0938
19.750598,69130.3125
19.777043,69116.4375
19.798598,69115.7422
19.822595,69106.6328
19.846595,69101.6328
19.870595,69096.8516
19.896701,69082.9922
19.918598,69077.75
19.942598,69072.9531
19.966598,69068.1719
19.990598,69063.3906
20.017034,69054.0859
20.038598,69049.0703
20.062598,69039.7344
20.086598,69039.2656
20.110598,69025.625
20.137454,69020.4062
20.158602,69015.6094
20.182602,69015.3672
20.206598,69006.2734
20.230602,69005.8203
20.254928,68992.1797
20.278598,68991.5
20.302602,68986.9141
20.326598,68977.6094
20.350602,68977.1406
20.376732,68958.9609
20.398602,68962.5938
20.422602,68958.2344
20.446602,68953.4844
20.470602,68939.6172
20.496607,68938.9297
20.518602,68929.8047
20.542602,68929.3516
20.566611,68920.25
20.590602,68919.7969
20.616607,68915.2344
20.638602,68905.9375
20.662602,68900.9297
20.686602,68900.6797
20.710602,68891.5781
20.735558,68895.6641
20.758602,68886.7891
20.782602,68881.8047
20.806602,68877.0078
20.830602,68872.2344
20.856948,68867.4531
20.878605,68867.2188
20.902605,68862.6641
20.926617,68844.2891
20.950605,68852.4375
20.977049,68843.7734
20.998605,68843.3438
21.022605,68838.7734
21.046605,68829.4688
21.070605,68829
21.096689,68819.8906
21.118608,68814.8906
21.142608,68819.1875
21.166605,68810.3203
21.190605,68805.3438
21.215272,68805.0938
21.238605,68800.5469
21.262614,68795.7734
21.286614,68795.5391
21.310605,68790.9844
21.334918,68790.75
21.358608,68786.1953
21.382608,68781.4375
21.406608,68781.2031
21.430608,68767.5703
21.454909,68766.8906
